Date,Time,WeekDay,Mode,Debit,Credit
42544,14,5,3,30,0
42548,15,2,1,148,0
42550,16,4,1,11.5,0
42551,17,5,1,870,0
42554,18,1,1,339,0
42557,10,4,1,549,0
42559,9999,6,1,0,111.81
42563,20,3,1,1599,0
42567,21,7,1,508,0
42567,22,7,1,290,0
42567,10,9,1,1000,0
42567,11,7,1,611,0
42567,18,7,1,193.5,0
42574,19,7,1,1182,0
42576,20,2,2,0,6070
42587,8,6,1,500,0
42592,9,4,1,883,0
42592,10,4,1,7700,0
42603,11,1,1,606,0
42603,12,1,1,875,0
42613,12,4,1,810,0
42616,13,7,4,0,721078
42617,14,1,1,261.5,0
42618,15,2,1,550,0
42620,16,4,1,20000,0
42624,17,1,5,5000,0
42624,18,1,5,5000,0
42625,10,2,1,615,0
42625,19,2,99,1000,0
42625,20,2,1,520,9999999
