Date,Time,WeekDay,Mode,Debit,Credit
43056,16,6,1,2352236,0
43056,17,6,1,2362622,0
43056,18,6,1,2366232,0
43056,10,6,1,2362622,6786796
43056,19,6,1,570,0
999999,20,7,1,885,0
43070,21,6,1,23252623,679696
43070,22,99,1,343734,0
43072,10,1,9,3473734,0
99999,11,1,3,11.8,7686969
43081,99,3,1,5656853,0
43083,19,5,3,11.8,0
99999,20,3,1,1200,796967
43090,16,5,9,3463373,0
43090,17,5,1,3453456,0
43094,18,2,2,3463743,9277
999,10,3,9,3437343,0
43097,19,5,3,56758856,679696
43097,20,5,1,3463733,5685675
43097,21,9,1,5685688,0
99999,22,7,1,125,6796967
43100,10,1,1,590,0
43101,11,2,3,3473734,0
43102,16,3,3,5675859,5675967
43102,17,3,1,567568,6796967
43104,18,5,1,5675756,0
43104,10,5,3,657688,0
43105,19,6,1,5675685,6585859
43107,20,1,3,11.8,0
43107,21,1,1,156783,0
