Date,Time,WeekDay,Mode,Debit,Credit
43014,9,6,1,1300,0
43016,10,1,1,2342762,0
43016,11,1,1,680,0
43017,12,2,1,12023.6,345353
43017,12,2,1,25023.6,0
43022,13,7,1,520,0
43022,14,4,1,342647,0
43024,15,2,3,11.8,0
43024,16,2,3,11.8,0
43025,17,2,1,3247432,346374
43029,18,7,1,520,0
43029,10,7,1,540,0
43031,19,9,3,4327,0
43031,20,2,3,11.8,0
43033,21,4,1,1220,0
43033,22,4,1,860,0
43034,10,5,1,320,0
43034,11,5,1,34733,0
43035,18,6,1,499,0
43035,23,6,1,590,0
43035,20,6,1,43636,0
43036,8,7,3,11.8,436334
43036,9,7,3,345363,0
43037,10,1,3,11.8,0
43038,11,2,1,34636,0
76966,12,4,1,590,0
43042,12,6,3,11.8,0
43042,13,6,1,1200,0
43044,14,1,3,11.8,0
43056,15,6,1,59.8,0
