Date,Time,WeekDay,Mode,Debit,Credit
42926,14,2,1,325135,0
42926,15,2,1,134547,0
42928,16,4,3,233523,0
42928,17,4,3,457457,0
42928,9,4,1,3423626,0
42932,10,1,1,234234,0
42935,19,4,1,1017.7,32426
42935,20,4,1,12023.6,0
42935,21,9,1,25023.6,0
99999,22,4,1,640,0
42935,10,4,1,456343,0
42936,11,5,1,345363,0
42938,18,7,3,467453,0
42947,19,2,1,395,0
42947,20,2,1,34673,0
42956,8,4,1,125,0
42958,9,6,3,34543,0
42958,10,6,1,23435,0
42958,11,6,1,1113,0
42959,12,7,1,540,0
42959,12,7,1,34453,0
42960,13,1,3,11.8,0
42961,14,2,3,23423,0
42961,15,2,3,11.8,0
42961,16,2,1,23425,0
42968,17,2,1,23423,0
42968,18,2,1,342526,0
42968,10,2,1,23423,0
42971,19,5,1,23432,0
42971,20,5,1,234352,0
