Date,Time,WeekDay,Mode,Debit,Credit
42772,16,2,1,249,0
42773,17,3,1,0,19829.61
42774,18,4,5,10000,0
42776,10,6,6,0,208.18
42786,19,2,1,540,0
42786,20,2,1,1200,0
42786,21,2,1,855,0
42793,22,9,1,59074.73,0
42796,10,5,3,15,0
42796,11,5,1,899879,0
42800,18,2,1,707,0
42807,19,2,1,4450,0
42808,20,3,1,1499,0
42808,9,3,1,1478,0
42810,9,5,1,1249,0
42810,9,5,1,97.5,0
42811,10,6,1,862,0
42815,11,3,1,610,0
42815,11,3,1,610,0
42816,12,9,1,11.5,0
42816,12,4,1,765790,0
42817,14,5,1,580,0
94548,15,5,1,1200,0
42819,15,7,2,0,12160
42821,15,2,1,1450,0
42827,16,1,1,2298,0
42829,17,3,1,844,0
42836,9,3,1,95,0
42837,9,4,1,11.5,0
42845,9,5,1,200,0
