Date,Time,WeekDay,Mode,Debit,Credit
42705,9,5,1,1000,0
42710,10,3,1,200,0
42711,11,4,1,365,0
42713,12,6,1,2166,0
42716,12,2,1,2104,0
42716,13,2,1,540,0
42717,14,3,1,11.5,0
42720,15,6,4,20000,0
42721,16,7,4,0,27800
42723,17,2,1,861,0
42723,18,9,1,1317,0
42723,10,2,1,1000,0
42725,999,4,1,550,0
67968,20,4,3,15,0
42729,21,1,2,0,8485
42730,22,2,1,199,0
42731,10,3,1,1679,0
42732,11,4,1,384,0
42735,18,7,1,10000,0
42738,19,3,1,280,0
42743,20,1,1,4490,0
42748,8,6,1,678456,0
42748,9,6,1,163,0
42750,10,1,1,1249,0
42752,11,3,1,97.5,0
42754,12,5,1,583,0
42754,12,5,1,700,0
42758,13,2,1,1149,0
42769,14,6,1,400,0
42772,15,2,1,199,0
