Date,Time,WeekDay,Mode,Debit,Credit
42625,21,2,1,999,0
42625,22,2,1,0,7700
42626,10,3,5,5000,0
42629,11,6,3,30,0
42634,18,4,1,148.92,0
999999,19,5,1,1249,0
42635,20,5,1,97.5,0
42635,8,5,1,11.5,0
42637,9,7,1,200,0
42638,10,99,5,10000,0
42638,11,1,1,536.92,0
42640,12,3,1,11.5,0
42640,999,3,1,309.05,0
42641,13,4,1,548,0
42646,14,2,1,1682,0
42646,15,2,1,795.04,0
42646,16,2,1,2395,0
42648,17,4,1,501,0
42655,18,4,1,4562344,0
42667,10,2,1,421,0
42668,19,3,2,0,9986
42670,20,5,1,700,0
42670,21,5,1,1000,0
42671,22,6,6,0,54.9
42681,10,2,1,1654,0
42683,11,4,1,97.5,0
42688,18,2,1,725,0
42689,19,3,1,1249,0
42689,20,3,1,566,0
42705,8,5,1,650,0
