Date,Time,WeekDay,Mode,Debit,Credit
42973,21,7,3,11.8,0
42973,22,7,3,11.8,0
42974,10,1,1,10000,0
42977,11,4,1,0,200
42979,18,6,1,125,0
42979,19,6,1,125,0
42981,20,1,3,11.8,0
42981,8,1,3,11.8,0
42984,9,4,1,910,0
42988,10,1,1,310,100
42989,11,2,1,1240,0
42990,12,3,3,11.8,0
42991,12,4,3,11.8,0
42993,13,6,1,59.8,0
42993,14,6,1,97.8,0
42994,15,7,1,345,0
42996,16,2,3,11.8,0
42997,17,3,1,440,0
42998,18,4,1,1098,0
42999,10,5,3,11.8,0
43002,19,1,1,873,0
43002,20,1,1,623,0
43003,21,2,1,621.81,0
43003,22,2,2,0,10367
43003,10,2,3,10367,0
43003,11,2,2,0,10472
43007,18,6,1,300,0
43007,19,6,1,200,0
43009,20,1,3,11.8,0
43009,8,1,1,333,0
