Date,Time,WeekDay,Mode,Debit,Credit
42887,9,5,1,245234,0
42889,10,7,3,563576,0
42889,11,7,1,2060,0
42890,11,1,1,565434,0
42891,11,2,3,345347,0
42892,11,3,3,234557,0
42901,12,5,1,454644,0
42901,12,5,1,533534,0
42901,16,5,1,54747,0
42903,17,7,3,456453,234236
42903,9,7,3,11.5,0
42903,9,7,3,345346,0
42903,9,7,1,345354,0
42905,10,2,3,457474,0
42905,11,2,3242,234235,0
42905,11,2,1,600,236277
42905,11,2,1,457473,0
42907,11,4,1,425.8,0
42909,12,23,1,3282,0
42911,12,1,2,346364,11844
42913,16,3,1,590,0
42915,17,5,3,345346,235627
42916,9,6,1,858,0
42918,8,1,1,435346,0
42918,9,1,1,125,23424
42920,10,3,3,436734,0
42920,11,3,3,345364,0
42926,12,2,1,346377,0
42926,234,2,1,345346,0
67867,13,2,1,345353,0
