Date,Time,WeekDay,Mode,Debit,Credit
42467,8,5,1,9419,0
42468,9,6,1,88,0
42472,10,3,1,740.8,0
42473,11,4,1,1231511,0
42473,12,4,1,1000,0
42473,12,4,1,1000,0
42473,13,4,1,11.45,0
42485,14,2,2,0,9444
42489,15,6,6,0,82.36
42494,16,4,1,147.9,0
42494,17,4,1,405.8,0
42494,18,4,1,147.9,0
42495,10,5,1,11.45,0
42495,19,5,1,11.45,0
42496,20,6,1,11.45,0
42499,21,2,1,788.31,0
42500,22,3,1,147.9,0
42502,10,5,1,11.45,0
42508,11,4,1,1214213,0
42508,18,4,1,147.9,0
42508,19,4,1,200,0
42508,20,4,1,860,0
42508,8,4,1,1308,0
42510,9,6,1,11.45,0
99999,10,6,1,11.45,0
42510,11,6,1,1287,0
42519,12,1,1,870,0
42539,12,7,1,575,0
42539,13,7,1,930,0
